List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
195,28,UBA3,Harnoor Pannu,India,22,BATTER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
196,28,UBA3,Smaran Ravichandran,India,21,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
197,28,UBA3,Shashwat Rawat,India,24,BATTER,RHB,RIGHT ARM Medium,,,Uncapped,30
198,28,UBA3,Andre Siddarth,India,18,BATTER,RHB,,,,Uncapped,30
199,28,UBA3,Avneesh Sudha,India,23,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
200,28,UBA3,Apoorv Wankhade,India,33,BATTER,RHB,,,,Uncapped,30
201,29,UAL3,Yudhvir Charak,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,LSG,2,Uncapped,30
202,29,UAL3,Rishi Dhawan,India,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,PBKS,1,Uncapped,30
203,29,UAL3,Rajvardhan Hangargekar,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,CSK,0,Uncapped,30
204,29,UAL3,Tanush Kotian,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RR,1,Uncapped,30
205,29,UAL3,Arshin Kulkarni,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,LSG,2,Uncapped,30
206,29,UAL3,Shams Mulani,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,MI,2,Uncapped,30
207,29,UAL3,Shivam Singh,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,1,Uncapped,30
208,29,UAL3,Lalit Yadav,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,DC,2,Uncapped,30
209,30,UWK3,Mohammed Azharuddeen,India,31,WICKETKEEPER,RHB,,,,Uncapped,30
210,30,UWK3,L.R Chethan,India,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
211,30,UWK3,Aryaman Singh Dhaliwal,India,22,WICKETKEEPER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
212,30,UWK3,Urvil Patel,India,26,WICKETKEEPER,RHB,,,,Uncapped,30
213,30,UWK3,Sanskar Rawat,India,19,WICKETKEEPER,LHB,,,,Uncapped,30
214,30,UWK3,Bipin Saurabh,India,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
215,30,UWK3,Tanay Thyagarajann,India,29,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
216,31,UFA3,Money Grewal,India,24,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
217,31,UFA3,Ashwani Kumar,India,23,BOWLER,LHB,LEFT ARM Fast,,,Uncapped,30
218,31,UFA3,Ishan Porel,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
219,31,UFA3,Abhilash Shetty,India,26,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
220,31,UFA3,Akash Singh,India,22,BOWLER,RHB,LEFT ARM Fast,,,Uncapped,30
221,31,UFA3,Gurjapneet Singh,India,26,BOWLER,RHB,LEFT ARM Fast Medium,,,Uncapped,30
222,31,UFA3,Basil Thampi,India,31,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
223,32,USP3,Murugan Ashwin,India,34,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
224,32,USP3,Shreyas Chavan,India,21,BOWLER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
225,32,USP3,Chintal Gandhi,India,30,BOWLER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
226,32,USP3,Raghav Goyal,India,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,,,Uncapped,30
227,32,USP3,Jagadeesha Suchith,India,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
228,32,USP3,Roshan Waghsare,India,21,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,Uncapped,30
229,32,USP3,Bailapudi Yeswanth,India,20,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
230,33,BA4,Sediqullah Atal,Afghanistan,23,BATTER,LHB,,,,Capped,75
231,33,BA4,Matthew Breetzke,South Africa,26,BATTER,RHB,,,,Capped,75
232,33,BA4,Mark Chapman,New Zealand,30,BATTER,LHB,LEFT ARM Slow Orthodox,,,Capped,150
233,33,BA4,Brandon King,West Indies,30,BATTER,RHB,RIGHT ARM Off Spin,,,Capped,75
234,33,BA4,Evin Lewis,West Indies,33,BATTER,LHB,,,,Capped,200
235,33,BA4,Pathum Nissanka,Sri Lanka,26,BATTER,RHB,RIGHT ARM Off Spin,,,Capped,75
236,33,BA4,Bhanuka Rajapaksa,Sri Lanka,33,BATTER,LHB,,,,Capped,75
237,33,BA4,Steve Smith,Australia,35,BATTER,RHB,,,,Capped,200
238,34,AL4,Gus Atkinson,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,KKR,0,Capped,200
239,34,AL4,Tom Curran,England,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,RCB,0,Capped,200
240,34,AL4,Krishnappa Gowtham,India,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,LSG,1,Capped,100
241,34,AL4,Mohammad Nabi,Afghanistan,40,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,MI,2,Capped,150
242,34,AL4,Gulbadin Naib,Afghanistan,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,DC,2,Capped,100
243,34,AL4,Sikandar Raza,Zimbabwe,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,2,Capped,125
244,34,AL4,Mitchell Santner,New Zealand,33,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,3,Capped,200
245,34,AL4,Jayant Yadav,India,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,GT,0,Capped,75
246,35,WK4,Johnson Charles,West Indies,36,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Capped,75
247,35,WK4,Litton Das,Bangladesh,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Capped,75
248,35,WK4,Andre Fletcher,West Indies,37,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,Capped,75
249,35,WK4,Tom Latham,New Zealand,33,WICKETKEEPER,LHB,,,,Capped,150
250,35,WK4,Ollie Pope,England,27,WICKETKEEPER,RHB,,,,Capped,75
251,35,WK4,Kyle Verreynne,South Africa,27,WICKETKEEPER,RHB,,,,Capped,75
252,36,FA4,Fazalhaq Farooqi,Afghanistan,24,BOWLER,RHB,LEFT ARM Fast Medium,SRH,0,Capped,200
253,36,FA4,Richard Gleeson,England,37,BOWLER,RHB,RIGHT ARM Fast,CSK,2,Capped,75
254,36,FA4,Matt Henry,New Zealand,33,BOWLER,RHB,RIGHT ARM Fast Medium,LSG,4,Capped,200
255,36,FA4,Alzarri Joseph,West Indies,28,BOWLER,RHB,RIGHT ARM Fast,RCB,3,Capped,200
256,36,FA4,Kwena Maphaka,South Africa,18,BOWLER,LHB,LEFT ARM Fast,MI,2,Capped,75
257,36,FA4,Kuldeep Sen,India,28,BOWLER,RHB,RIGHT ARM Fast,RR,3,Capped,75
258,36,FA4,Reece Topley,England,31,BOWLER,RHB,LEFT ARM Fast,RCB,4,Capped,75
259,36,FA4,Lizaad Williams,South Africa,31,BOWLER,LHB,RIGHT ARM Fast,DC,2,Capped,75
260,36,FA4,Luke Wood,England,29,BOWLER,LHB,LEFT ARM Fast,MI,2,Capped,75
261,37,UBA4,Sachin Dhas,India,20,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
262,37,UBA4,Leus Du Plooy,England,30,BATTER,LHB,,,,Uncapped,50
263,37,UBA4,Ashwin Hebbar,India,29,BATTER,RHB,RIGHT ARM Medium,,,Uncapped,30
264,37,UBA4,Rohan Kunnummal,India,26,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
265,37,UBA4,Ayush Pandey,India,21,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
266,37,UBA4,Akshat Raghuwanshi,India,21,BATTER,RHB,,,,Uncapped,30
267,37,UBA4,Shoun Roger,India,22,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,40
268,37,UBA4,Virat Singh,India,27,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
269,38,UAL4,Priyansh Arya,India,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
270,38,UAL4,Manoj Bhandage,India,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,RCB,0,Uncapped,30
271,38,UAL4,Pravin Dubey,India,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,DC,0,Uncapped,30
272,38,UAL4,Ajay Mandal,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,CSK,0,Uncapped,30
273,38,UAL4,Prerak Mankad,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,LSG,0,Uncapped,30
274,38,UAL4,Vipraj Nigam,India,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
275,38,UAL4,Vicky Ostwal,India,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,DC,0,Uncapped,30
276,38,UAL4,Shivalik Sharma,India,26,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,MI,0,Uncapped,30
277,39,UWK4,Salil Arora,India,22,WICKETKEEPER,RHB,,,,Uncapped,30
278,39,UWK4,Dinesh Bana,India,20,WICKETKEEPER,RHB,,,,Uncapped,30
279,39,UWK4,Ajitesh Guruswamy,India,22,WICKETKEEPER,RHB,,,,Uncapped,30
280,39,UWK4,Narayan Jagadeesan,India,29,WICKETKEEPER,RHB,,,,Uncapped,30
281,39,UWK4,Shrijith Krishnan,India,28,WICKETKEEPER,LHB,,,,Uncapped,30
282,39,UWK4,Michael Pepper,England,26,WICKETKEEPER,RHB,,,,Uncapped,50
283,39,UWK4,Vishnu Solanki,India,32,WICKETKEEPER,RHB,,,,Uncapped,30
284,40,UFA4,K.M Asif,India,31,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
285,40,UFA4,Akhil Chaudhary,India,22,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
286,40,UFA4,Himanshu Chauhan,India,22,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
287,40,UFA4,Arpit Guleria,India,27,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
288,40,UFA4,Nishanth Saranu,India,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
289,40,UFA4,Kuldip Yadav,India,28,BOWLER,LHB,LEFT ARM Fast,,,Uncapped,30
290,40,UFA4,Prithviraj Yarra,India,27,BOWLER,LHB,LEFT ARM Fast,,,Uncapped,30
291,41,USP4,Shubham Agrawal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
292,41,USP4,Jass Inder Baidwan,India,28,BOWLER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
293,41,USP4,Jasmer Dhankhar,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
294,41,USP4,Pulkit Narang,India,30,BOWLER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
295,41,USP4,Saumy Pandey,India,20,BOWLER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
296,41,USP4,Mohit Rathee,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
297,41,USP4,Himanshu Singh,India,21,BOWLER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
298,42,BA5,Towhid Hridoy,Bangladesh,24,BATTER,RHB,RIGHT ARM Off Spin,,,Capped,75
299,42,BA5,Mikyle Louis,West Indies,24,BATTER,RHB,,,,Capped,75
300,42,BA5,Harry Tector,Ireland,25,BATTER,RHB,RIGHT ARM Off Spin,,,Capped,75
301,42,BA5,Rassie Van Der Dussen,South Africa,36,BATTER,RHB,RIGHT ARM Off Spin,,,Capped,200
302,42,BA5,Will Young,New Zealand,32,BATTER,RHB,,,,Capped,125
303,42,BA5,Najibullah Zadran,Afghanistan,32,BATTER,LHB,,,,Capped,75
304,42,BA5,Ibrahim Zadran,Afghanistan,24,BATTER,RHB,RIGHT ARM Medium,,,Capped,75
305,43,AL5,Sean Abbott,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,200
306,43,AL5,Jacob Bethell,England,21,ALL-ROUNDER,LHB       LEFT ARM Slow Orthodox,,,,Capped,125
307,43,AL5,Brydon Carse,England,29,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,100
308,43,AL5,Aaron Hardie,Australia,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Capped,125
309,43,AL5,Sarfaraz Khan,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Capped,75
310,43,AL5,Kyle Mayers,West Indies,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,LSG,0,Capped,150
311,43,AL5,Kamindu Mendis,Sri Lanka,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,75
312,43,AL5,Matthew Short,Australia,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,75
313,44,FA5,Jason Behrendorff,Australia,34,BOWLER,RHB,LEFT ARM Fast,MI,0,Capped,150
314,44,FA5,Dushmantha Chameera,Sri Lanka,33,BOWLER,RHB,RIGHT ARM Fast,LSG,1,Capped,75
315,44,FA5,Nathan Ellis,Australia,30,BOWLER,RHB,RIGHT ARM Fast Medium,PBKS,1,Capped,125
316,44,FA5,Shamar Joseph,West Indies,25,BOWLER,LHB,RIGHT ARM Fast,LSG,1,Capped,75
317,44,FA5,Josh Little,Ireland,25,BOWLER,RHB,LEFT ARM Fast Medium,GT,1,Capped,75
318,44,FA5,Shivam Mavi,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,GT,0,Capped,75
319,44,FA5,Jhye Richardson,Australia,28,BOWLER,RHB,RIGHT ARM Fast,DC,1,Capped,150
320,44,FA5,Navdeep Saini,India,32,BOWLER,RHB,RIGHT ARM Fast,RR,0,Capped,75
321,45,UBA5,Tanmay Agarwal,India,29,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
322,45,UBA5,Amandeep Khare,India,27,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
323,45,UBA5,Ayush Mhatre,India,17,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
324,45,UBA5,Salman Nizar,India,27,BATTER,LHB,,,,Uncapped,30
325,45,UBA5,Aniket Verma,India,23,BATTER,RHB,,,,Uncapped,30
326,45,UBA5,Sumeet Verma,India,34,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
327,45,UBA5,Manan Vohra,India,31,BATTER,RHB,,,,Uncapped,30
328,45,UBA5,Samarth Vyas,India,29,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
329,46,UAL5,Raj Angad Bawa,India,22,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,Uncapped,30
330,46,UAL5,Emanjot Chahal,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
331,46,UAL5,Musheer Khan,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
332,46,UAL5,Manvanth Kumar L,India,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,Uncapped,30
333,46,UAL5,Mayank Rawat,India,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
334,46,UAL5,Suryansh Shedge,India,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
335,46,UAL5,Hritik Shokeen,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
336,46,UAL5,Sonu Yadav,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
337,47,UWK5,S. Rithik Easwaran,India,23,WICKETKEEPER,LHB,,,,Uncapped,30
338,47,UWK5,Anmol Malhotra,India,29,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
339,47,UWK5,Pradosh Paul,India,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
340,47,UWK5,Karteek Sharma,India,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
341,47,UWK5,Akash Singh,India,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
342,47,UWK5,Tejasvi Singh,India,22,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
343,47,UWK5,Siddharth Yadav,India,21,WICKETKEEPER,LHB,RIGHT ARM Medium,,,Uncapped,30
344,48,UFA5,Saurabh Dubey,India,27,BOWLER,RHB,LEFT ARM Fast Medium,,,Uncapped,30
345,48,UFA5,Aaqib Khan,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
346,48,UFA5,Kulwant Khejroliya,India,33,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
347,48,UFA5,Ankit Singh Rajpoot,India,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
348,48,UFA5,Divesh Sharma,India,23,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
349,48,UFA5,Naman Tiwari,India,19,BOWLER,LHB,LEFT ARM Fast,,,Uncapped,30
350,48,UFA5,Prince Yadav,India,23,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
351,49,USP5,Kunal Singh Chibb,India,28,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
352,49,USP5,Yuvraj Chudasama,India,29,BOWLER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
353,49,USP5,Deepak Devadiga,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
354,49,USP5,Ramesh Prasad,India,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
355,49,USP5,Shivam Shukla,India,29,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
356,49,USP5,Himanshu Singh,India,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
357,49,USP5,Tejpreet Singh,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
358,50,AL6,Qais Ahmad,Afghanistan,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Capped,75
359,50,AL6,Charith Asalanka,Sri Lanka,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Capped,75
360,50,AL6,Michael Bracewell,New Zealand,34,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Capped,150
361,50,AL6,Gudakesh Motie,West Indies,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,75
362,50,AL6,Daniel Mousley,England,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Capped,75
363,50,AL6,Jamie Overton,England,41,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,150
364,50,AL6,Dunith Wellalage,Sri Lanka,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,75
365,51,FA6,Ottneil Baartman,South Africa,32,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,75
366,51,FA6,Xavier Bartlett,Australia,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,75
367,51,FA6,Dilshan Madushanka,Sri Lanka,24,BOWLER,RHB,LEFT ARM Fast,MI,0,Capped,75
368,51,FA6,Adam Milne,New Zealand,32,BOWLER,RHB,RIGHT ARM Fast,,,Capped,200
369,51,FA6,Lungisani Ngidi,South Africa,29,BOWLER,RHB,RIGHT ARM Fast Medium,DC,0,Capped,100
370,51,FA6,William O'Rourke,New Zealand,23,BOWLER,RHB,RIGHT ARM Fast,,,Capped,150
371,51,FA6,Chetan Sakariya,India,27,BOWLER,LHB,LEFT ARM Medium,KKR,0,Capped,75
372,51,FA6,Sandeep Warrier,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,75
373,52,UBA6,Musaif Ajaz,India,22,BATTER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
374,52,UBA6,Agni Chopra,India,26,BATTER,LHB,,,,Uncapped,30
375,52,UBA6,Abhimanyu Easwaran,India,29,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
376,52,UBA6,Sudip Gharami,India,26,BATTER,RHB,,,,Uncapped,30
377,52,UBA6,Shubham Khajuria,India,29,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
378,52,UBA6,Akhil Rawat,India,24,BATTER,RHB,,,,Uncapped,30
379,52,UBA6,Prateek Yadav,India,26,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
380,53,UAL6,Abdul Bazith,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
381,53,UAL6,K.C Cariappa,India,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
382,53,UAL6,Yuvraj Chaudhary,India,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
383,53,UAL6,Aman Khan,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
384,53,UAL6,Sumit Kumar,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
385,53,UAL6,Kamlesh Nagarkoti,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
386,53,UAL6,Hardik Raj,India,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
387,53,UAL6,Harsh Tyagi,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
388,54,UWK6,M. Ajnas,India,27,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
389,54,UWK6,Unmukt Chand,USA,32,WICKETKEEPER,RHB,,,,Associate,30
390,54,UWK6,Tejasvi Dahiya,India,22,WICKETKEEPER,RHB,,,,Uncapped,30
391,54,UWK6,Sumit Ghadigaonkar,India,32,WICKETKEEPER,RHB,,,,Uncapped,30
392,54,UWK6,Baba Indrajith,India,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
393,54,UWK6,Muhammed Khan,India,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
394,54,UWK6,Bhagmender Lather,India,27,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
395,55,UFA6,Baltej Dhanda,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
396,55,UFA6,Ali Khan,USA,34,BOWLER,RHB,RIGHT ARM Fast,,,Associate,30
397,55,UFA6,Ravi Kumar,India,21,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
398,55,UFA6,Vineet Panwar,India,26,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
399,55,UFA6,Vidyadhar Patil,India,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
400,55,UFA6,Aradhya Shukla,India,20,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
401,55,UFA6,Abhinandan Singh,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
402,56,AL7,Cooper Connolly,Australia,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,75
403,56,AL7,Dushan Hemantha,Sri Lanka,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Capped,75
404,56,AL7,Jason Holder,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,200
405,56,AL7,Karim Janat,Afghanistan,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,75
406,56,AL7,Jimmy Neesham,New Zealand,34,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,Capped,150
407,56,AL7,Daniel Sams,Australia,32,ALL-ROUNDER,RHB,LEFT ARM Fast,,,Capped,150
408,56,AL7,William Sutherland,Australia,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,75
409,57,FA7,Taskin Ahmed,Bangladesh,30,BOWLER,LHB,RIGHT ARM Fast,,,Capped,100
410,57,FA7,Ben Dwarshuis,Australia,30,BOWLER,LHB,LEFT ARM Fast,,,Capped,75
411,57,FA7,Obed McCoy,West Indies,28,BOWLER,RHB,LEFT ARM Fast,,,Capped,125
412,57,FA7,Riley Meredith,Australia,28,BOWLER,RHB,RIGHT ARM Fast,,,Capped,150
413,57,FA7,Lance Morris,Australia,27,BOWLER,RHB,RIGHT ARM Fast,,,Capped,125
414,57,FA7,Olly Stone,England,31,BOWLER,RHB,RIGHT ARM Fast,,,Capped,75
415,57,FA7,Daniel Worrall,England,33,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,150
416,58,UBA7,Pyla Avinash,India,24,BATTER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
417,58,UBA7,Kiran Chormale,India,19,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
418,58,UBA7,Ashish Dahariya,India,20,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
419,58,UBA7,Tushar Raheja,India,24,BATTER,LHB,,,,Uncapped,30
420,58,UBA7,Sarthak Ranjan,India,28,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
421,58,UBA7,Abhijeet Tomar,India,30,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
422,59,UAL7,Krish Bhagat,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
423,59,UAL7,Sohraab Dhaliwal,India,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
424,59,UAL7,Harsh Dubey,India,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
425,59,UAL7,Ramakrishna Ghosh,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
426,59,UAL7,Raj Limbani,India,20,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,Uncapped,30
427,59,UAL7,Ninad Rathva,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
428,59,UAL7,Vivrant Sharma,India,25,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
429,59,UAL7,Shiva Singh,India,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
430,60,UFA7,Sayed Irfan Aftab,India,21,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
431,60,UFA7,Anirudh Chowdhary,India,25,BOWLER,LHB,RIGHT ARM Fast Medium,,,Uncapped,30
432,60,UFA7,Anshuman Hooda,India,24,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
433,60,UFA7,Siddharth Kaul,India,34,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,40
434,60,UFA7,Prashant Sai Painkra,India,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
435,60,UFA7,Venkata Satyanarayana Penmetsa,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
436,60,UFA7,Yeddala Reddy,India,25,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
437,61,AL8,Zak Foulkes,New Zealand,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Capped,75
438,61,AL8,Chris Green,Australia,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,100
